(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.00, 0.01, 0.97)
(-0.01, 0.01, 0.97)
(-0.01, 0.01, 0.97)
(-0.01, 0.01, 0.97)
(0.00, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.02, 0.02, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.02, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.01, 0.97)
(0.01, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.00, 0.00, 0.97)
(0.02, 0.00, 0.97)
(0.02, 0.00, 0.97)
(0.02, 0.00, 0.97)
(0.06, 0.01, 0.97)
(0.07, 0.01, 0.97)
(0.07, 0.01, 0.97)
(0.07, 0.01, 0.97)
(0.07, 0.01, 0.97)
(0.07, 0.01, 0.97)
(0.06, 0.00, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.02, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.03, -0.02, 0.97)
(0.03, -0.02, 0.97)
(0.05, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.04, -0.01, 0.97)
(0.03, -0.02, 0.97)
(0.03, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.01, 0.97)
(0.03, -0.01, 0.97)
(0.03, -0.01, 0.97)
(0.04, -0.01, 0.97)
(0.04, -0.02, 0.97)
(0.03, -0.02, 0.97)
(0.03, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.02, -0.02, 0.97)
(0.05, -0.02, 0.97)
(0.07, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.07, -0.02, 0.97)
(0.07, -0.02, 0.97)
(0.06, -0.01, 0.97)
(0.07, 0.00, 0.97)
(0.07, 0.00, 0.97)
(0.07, 0.00, 0.97)
(0.07, 0.00, 0.97)
(0.06, 0.00, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.02, 0.97)
(0.06, -0.03, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.05, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.03, -0.04, 0.97)
(0.07, -0.03, 0.97)
(0.07, -0.03, 0.97)
(0.07, -0.03, 0.97)
(0.07, -0.03, 0.97)
(0.07, -0.02, 0.97)
(0.07, -0.03, 0.97)
(0.07, -0.02, 0.97)
(0.07, -0.02, 0.97)
(0.07, -0.02, 0.97)
(0.05, -0.03, 0.97)
(0.03, -0.03, 0.97)
(0.00, -0.04, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.05, -0.03, 0.97)
(0.05, -0.03, 0.97)
(0.05, -0.03, 0.97)
(0.04, -0.03, 0.97)
(0.03, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.04, -0.04, 0.97)
(0.04, -0.04, 0.97)
(0.04, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.03, -0.05, 0.97)
(0.03, -0.05, 0.97)
(0.03, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.06, -0.04, 0.97)
(0.06, -0.03, 0.97)
(0.07, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.03, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.00, -0.05, 0.97)
(0.05, -0.05, 0.97)
(0.06, -0.04, 0.97)
(0.05, -0.03, 0.97)
(0.03, -0.05, 0.96)
(0.00, -0.05, 0.97)
(-0.04, -0.05, 0.97)
(-0.06, -0.06, 0.97)
(-0.06, -0.07, 0.97)
(-0.06, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(-0.01, -0.06, 0.97)
(-0.07, -0.09, 0.97)
(-0.07, -0.09, 0.97)
(-0.07, -0.08, 0.97)
(-0.07, -0.08, 0.97)
(-0.07, -0.08, 0.97)
(-0.07, -0.08, 0.97)
(-0.07, -0.08, 0.97)
(-0.02, -0.05, 0.97)
(-0.03, -0.06, 0.97)
(-0.05, -0.07, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(0.00, -0.06, 0.97)
(0.06, -0.04, 0.97)
(0.06, -0.03, 0.97)
(0.06, -0.04, 0.97)
(-0.06, -0.09, 0.97)
(-0.06, -0.09, 0.97)
(-0.05, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(0.05, -0.04, 0.97)
(0.02, -0.05, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(-0.05, -0.08, 0.97)
(-0.06, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.01, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.05, -0.05, 0.97)
(0.06, -0.05, 0.97)
(0.04, -0.06, 0.97)
(0.04, -0.06, 0.97)
(0.03, -0.06, 0.97)
(0.01, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.06, -0.05, 0.97)
(0.06, -0.05, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.06, -0.06, 0.97)
(0.03, -0.06, 0.97)
(0.00, -0.06, 0.97)
(-0.01, -0.07, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.02, -0.08, 0.97)
(-0.01, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.00, -0.06, 0.97)
(-0.01, -0.07, 0.97)
(-0.02, -0.08, 0.97)
(-0.02, -0.08, 0.97)
(-0.02, -0.07, 0.97)
(-0.01, -0.07, 0.97)
(0.00, -0.07, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.05, -0.05, 0.97)
(0.06, -0.05, 0.97)
(0.07, -0.05, 0.97)
(0.06, -0.05, 0.97)
(0.06, -0.05, 0.97)
(0.05, -0.05, 0.97)
(0.01, -0.06, 0.97)
(0.00, -0.06, 0.97)
(-0.01, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.04, -0.06, 0.97)
(0.04, -0.06, 0.97)
(0.03, -0.06, 0.97)
(0.02, -0.06, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.07, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.97)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.01, -0.08, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.08, 0.96)
(-0.01, -0.09, 0.96)
(-0.02, -0.09, 0.96)
(-0.03, -0.11, 0.96)
(-0.02, -0.11, 0.96)
(-0.01, -0.09, 0.97)
(-0.04, -0.11, 0.96)
(-0.04, -0.10, 0.96)
(-0.05, -0.09, 0.97)
(-0.06, -0.08, 0.97)
(-0.07, -0.08, 0.97)
(-0.03, -0.09, 0.96)
(-0.01, -0.09, 0.96)
(-0.01, -0.09, 0.96)
(0.02, -0.08, 0.96)
(0.03, -0.07, 0.96)
(0.03, -0.07, 0.96)
(0.02, -0.05, 0.97)
(-0.01, -0.08, 0.96)
(-0.03, -0.10, 0.96)
(-0.04, -0.11, 0.96)
(-0.04, -0.11, 0.96)
(-0.04, -0.11, 0.96)
(-0.03, -0.11, 0.96)
(-0.02, -0.10, 0.96)
(-0.03, -0.11, 0.96)
(-0.04, -0.11, 0.96)
(-0.04, -0.12, 0.96)
(-0.05, -0.12, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.04, -0.10, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.12, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.05, -0.11, 0.96)
(-0.04, -0.10, 0.96)
(0.03, -0.06, 0.97)
(0.03, -0.06, 0.97)
(0.04, -0.06, 0.97)
(0.04, -0.06, 0.97)
(0.04, -0.06, 0.97)
(0.04, -0.07, 0.96)
(0.03, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(-0.01, -0.09, 0.96)
(-0.01, -0.10, 0.96)
(-0.01, -0.10, 0.96)
(0.00, -0.09, 0.96)
(0.00, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.10, 0.96)
(0.01, -0.10, 0.96)
(0.01, -0.10, 0.96)
(0.01, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.02, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.01, -0.09, 0.96)
(0.04, -0.08, 0.96)
(0.05, -0.06, 0.97)
(0.04, -0.07, 0.96)
(-0.01, -0.10, 0.96)
(-0.03, -0.11, 0.96)
(-0.03, -0.12, 0.96)
(-0.04, -0.09, 0.97)
(-0.04, -0.09, 0.97)
(-0.03, -0.10, 0.96)
(-0.05, -0.09, 0.97)
(-0.04, -0.10, 0.96)
(-0.03, -0.09, 0.96)
(-0.02, -0.09, 0.96)
(0.00, -0.07, 0.97)
(-0.01, -0.07, 0.97)
(-0.02, -0.08, 0.97)
(-0.02, -0.07, 0.97)
(-0.02, -0.08, 0.97)
(-0.04, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(0.03, -0.05, 0.97)
(0.04, -0.03, 0.97)
(0.05, -0.03, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(-0.03, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(-0.02, -0.07, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(-0.01, -0.02, 0.97)
(-0.01, -0.03, 0.97)
(-0.01, -0.04, 0.97)
(-0.01, -0.07, 0.97)
(0.00, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.02, -0.11, 0.96)
(0.01, 0.01, 0.97)
(-0.02, -0.04, 0.97)
(-0.01, -0.04, 0.97)
(-0.03, -0.04, 0.97)
(-0.02, -0.03, 0.97)
(-0.03, -0.03, 0.97)
(0.04, -0.14, 0.96)
(-0.05, -0.12, 0.96)
(-0.05, -0.13, 0.96)
(-0.02, -0.24, 0.95)
(0.11, -0.17, 0.95)
(-0.02, -0.08, 0.97)
(-0.01, -0.05, 0.97)
(-0.02, -0.11, 0.96)
(0.10, -0.19, 0.95)
(-0.02, -0.08, 0.97)
(0.00, -0.12, 0.96)
(0.07, -0.23, 0.94)
(0.01, -0.19, 0.96)
(-0.01, -0.13, 0.96)
(0.00, -0.14, 0.96)
(0.08, -0.31, 0.92)
(0.03, -0.27, 0.93)
(-0.04, -0.06, 0.97)
(-0.05, -0.05, 0.97)
(0.01, -0.18, 0.95)
(0.01, -0.23, 0.94)
(0.04, -0.18, 0.95)
(0.03, -0.15, 0.96)
(0.04, -0.14, 0.96)
(0.04, -0.14, 0.96)
(0.03, -0.14, 0.96)
(0.04, -0.13, 0.96)
(0.05, -0.13, 0.96)
(0.04, -0.13, 0.96)
(-0.02, -0.11, 0.96)
(-0.02, -0.11, 0.96)
(-0.01, -0.11, 0.96)
(0.02, -0.12, 0.96)
(0.02, -0.10, 0.96)
(0.03, -0.12, 0.96)
(0.01, -0.09, 0.96)
(0.03, -0.08, 0.96)
(0.03, -0.08, 0.96)
(0.03, -0.08, 0.96)
(0.02, -0.08, 0.96)
(0.03, -0.08, 0.96)
(0.02, -0.07, 0.96)
(0.02, -0.05, 0.97)
(-0.01, -0.06, 0.97)
(-0.04, -0.08, 0.97)
(-0.05, -0.08, 0.97)
(-0.05, -0.09, 0.97)
(-0.05, -0.08, 0.97)
(-0.04, -0.07, 0.97)
(-0.01, -0.06, 0.97)
(0.01, -0.05, 0.97)
(0.02, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.02, -0.04, 0.97)
(0.03, -0.04, 0.97)
(0.00, -0.05, 0.97)
(-0.01, -0.05, 0.97)
(-0.01, -0.06, 0.97)
(-0.04, -0.10, 0.96)
(-0.04, -0.09, 0.97)
(-0.04, -0.09, 0.97)
(-0.04, -0.09, 0.97)
(-0.04, -0.09, 0.97)
(-0.03, -0.09, 0.97)
(-0.04, -0.09, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.04, -0.08, 0.97)
(-0.03, -0.07, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(0.01, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.04, -0.06, 0.97)
(-0.02, -0.06, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.06, -0.04, 0.97)
(0.07, -0.04, 0.97)
(0.07, -0.04, 0.97)
(0.07, -0.04, 0.97)
(0.07, -0.04, 0.97)
(0.07, -0.04, 0.97)
(0.06, -0.04, 0.97)
(0.01, -0.06, 0.97)
(0.00, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.07, 0.97)
(-0.01, -0.06, 0.97)
(-0.01, -0.06, 0.97)
(0.00, -0.06, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.01, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.02, -0.05, 0.97)
(0.07, -0.02, 0.97)
(0.08, -0.02, 0.97)
(0.08, -0.02, 0.97)
(0.08, -0.02, 0.97)
(0.08, -0.02, 0.97)
(0.08, -0.02, 0.97)
(0.07, -0.02, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.01, -0.04, 0.97)
(0.00, -0.04, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.00, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.03, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.00, -0.02, 0.97)
(0.00, -0.03, 0.97)
(0.03, -0.02, 0.97)
(0.06, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.04, -0.01, 0.97)
(0.05, -0.01, 0.97)
(0.06, -0.01, 0.97)
(0.07, -0.01, 0.97)
(0.07, 0.00, 0.97)
(0.07, 0.00, 0.97)
(0.06, 0.00, 0.97)
(0.05, 0.00, 0.97)
(0.01, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.02, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.01, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.01, -0.02, 0.97)
(0.00, -0.02, 0.97)
(0.00, -0.02, 0.97)
